1 AV,BMT,,BMT,1 Av,,,
104 ST,BMT,,BMT,104 St,,,
111 ST,BMT,,BMT,111 St,,,
121 ST,BMT,,BMT,121 St,,,
14 ST-UNION SQ,BMT,,BMT,14 St - Union Sq,,,
18 AV,BMT,,BMT,18 Av,,,
20 AV,BMT,,BMT,20 Av,,,
23 ST,BMT,,BMT,23 St,,,
25 AV,BMT,,BMT,25 Av,,,
25 ST,BMT,,BMT,25 St,,,
28 ST,BMT,,BMT,28 St,,,
3 AV,BMT,,BMT,3 Av,,,
30 AV,BMT,,BMT,30 Av,,,
34 ST-HERALD SQ,BMT,,BMT,34 St - Herald Sq,,,
36 AV,BMT,,BMT,36 Av,,,
36 ST,BMT,,BMT,36 St,,,
39 AV,BMT,,BMT,39 Av,,,
45 ST,BMT,,BMT,45 St,,,
49 ST,BMT,,BMT,49 St,,,
4AV-9 ST,BMT,,,,,,
5 AV/59 ST,BMT,,BMT,5 Av/59 St,,,
50 ST,BMT,,BMT,50 St,,,
53 ST,BMT,,BMT,53 St,,,
55 ST,BMT,,BMT,55 St,,,
57 ST-7 AV,BMT,,BMT,57 St - 7 Av,,,
59 ST,BMT,,BMT,59 St,,,
6 AV,BMT,,BMT,6 Av,,,
7 AV,BMT,,BMT,7 Av,,,
71 ST,BMT,,BMT,71 St,,,
75 ST-ELDERTS,BMT,,BMT,75 St,,,
77 ST,BMT,,BMT,77 St,,,
79 ST,BMT,,BMT,79 St,,,
8 AV,BMT,,BMT,8 Av,,,
8 ST-NYU,BMT,,BMT,8 St - NYU,,,
85 ST-FOREST PK,BMT,,BMT,85 St - Forest Pkwy,,,
86 ST,BMT,,BMT,86 St,,,
9 AV,BMT,,BMT,9 Av,,,
ALABAMA AV,BMT,,BMT,Alabama Av,,,
ASTORIA BLVD,BMT,,BMT,Astoria Blvd,,,
ASTORIA DITMARS,BMT,,BMT,Astoria - Ditmars Blvd,,,
ATL AV-BARCLAY,BMT,,BMT,Atlantic Av - Barclays Ctr,,,
ATLANTIC AV,BMT,,BMT,Atlantic Av,,,
AVENUE H,BMT,,BMT,Avenue H,,,
AVENUE J,BMT,,BMT,Avenue J,,,
AVENUE M,BMT,,BMT,Avenue M,,,
AVENUE U,BMT,,BMT,Avenue U,,,
BAY 50 ST,BMT,,BMT,Bay 50 St,,,
BAY PKWY,BMT,,BMT,Bay Pkwy,,,
BAY RIDGE AV,BMT,,BMT,Bay Ridge Av,,,
BAY RIDGE-95 ST,BMT,,BMT,Bay Ridge - 95 St, , , 
BEDFORD AV,BMT,,BMT,Bedford Av,,,
BEVERLEY ROAD,BMT,,BMT,Beverley Rd,,,
BOROUGH HALL,BMT,, , ,,,
BOTANIC GARDEN,BMT,,BMT,Botanic Garden,,,
BOWERY,BMT,,BMT,Bowery,,,
BRIGHTON BEACH,BMT,,BMT,Brighton Beach,,,
BROAD ST,BMT,,BMT,Broad St,,,
BROADWAY,BMT,,BMT,Broadway,,,
BUSHWICK AV,BMT,,BMT,Bushwick Av - Aberdeen St,,,
CANAL ST,BMT,,BMT,Canal St,,,
CANARSIE-ROCKAW,BMT,,BMT,Canarsie - Rockaway Pkwy,,,
CENTRAL AV,BMT,,BMT,Central Av,,,
CHAMBERS ST,BMT,,BMT,Chambers St,,,
CHAUNCEY ST,BMT,,BMT,Chauncey St,,,
CHURCH AV,BMT,,BMT,Church Av,,,
CITY HALL,BMT,,BMT,City Hall,,,
CLEVELAND ST,BMT,,BMT,Cleveland St,,,
CONEY IS-STILLW,BMT,,BMT,Coney Island - Stillwell Av,,,
CORTELYOU RD,BMT,,BMT,Cortelyou Rd,,,
CORTLANDT ST,BMT,,BMT,Cortlandt St,,,
CRESCENT ST,BMT,,BMT,Crescent St,,,
CYPRESS HILLS,BMT,,BMT,Cypress Hills,,,
DEKALB AV,BMT,,BMT,DeKalb Av,,,
DELANCEY/ESSEX,BMT,, , ,,,
EAST 105 ST,BMT,,BMT,E 105 St,,,
FLUSHING AV,BMT,,BMT,Flushing Av,,,
FOREST AVE,BMT,,BMT,Forest Av,,,
FRESH POND RD,BMT,,BMT,Fresh Pond Rd, ,,
FT HAMILTON PKY,BMT,,BMT,Fort Hamilton Pkwy,,,
FULTON ST,BMT,,BMT,Fulton St,,,
GATES AV,BMT,,BMT,Gates Av,,,
GRAHAM AV,BMT,,BMT,Graham Av,,,
GRAND ST,BMT,,BMT,Grand St,,,
HALSEY ST,BMT,,BMT,Halsey St,,,
HEWES ST,BMT,,BMT,Hewes St,,,
JAY ST-METROTEC,BMT,,BMT,Jay St - MetroTech,,,
JEFFERSON ST,BMT,,BMT,Jefferson St,,,
KINGS HWY,BMT,,BMT,Kings Hwy,,,
KNICKERBOCKER,BMT,,BMT,Knickerbocker Av,,,
KOSCIUSZKO ST,BMT,,BMT,Kosciuszko St,,,
LIVONIA AV,BMT,,BMT,Livonia Av,,,
LORIMER ST,BMT,,BMT,Lorimer St,,,
MARCY AV,BMT,,BMT,Marcy Av,,,
METROPOLITAN AV,BMT,,BMT,Middle Village - Metropolitan Av,,,
MONTROSE AV,BMT,,BMT,Montrose Av,,,
MORGAN AV,BMT,,BMT,Morgan Av,,,
MYRTLE AV,BMT,,BMT,Myrtle Av,,,
MYRTLE-WYCKOFF,BMT,,BMT,Myrtle - Wyckoff Avs,,,
NECK RD,BMT,,BMT,Neck Rd,,,
NEW LOTS,BMT,,BMT,New Lots Av,,,
NEW UTRECHT AV,BMT,,BMT,New Utrecht Av,,,
NEWKIRK PLAZA,BMT,,BMT,Newkirk Plaza,,,
NORWOOD AV,BMT,,BMT,Norwood Av,,,
OCEAN PKWY,BMT,,BMT,Ocean Pkwy,,,
PARK PLACE,BMT,,BMT,Park Pl,,,
PARKSIDE AV,BMT,,BMT,Parkside Av,,,
PRINCE ST,BMT,,BMT,Prince St,,,
PROSPECT AV,BMT,,BMT,Prospect Av,,,
PROSPECT PARK,BMT,,BMT,Prospect Park,,,
RECTOR ST,BMT,,BMT,Rector St,,,
SENECA AVE,BMT,,BMT,Seneca Av,,,
SHEEPSHEAD BAY,BMT,,BMT,Sheepshead Bay,,,
SUTTER AV,BMT,,BMT,Sutter Av,,,
TIMES SQ-42 ST,BMT,,BMT,Times Sq - 42 St,,,
UNION ST,BMT,,BMT,Union St,,,
VAN SICLEN AV,BMT,,BMT,Van Siclen Av,,,
W 8 ST-AQUARIUM,BMT,,BMT,W 8 St - NY Aquarium,,,
WHITEHALL S-FRY,BMT,,BMT,Whitehall St,,,
WILSON AV,BMT,,BMT,Wilson Av,,,
WOODHAVEN BLVD,BMT,,BMT,Woodhaven Blvd,,,
103 ST,IND,,IND,103 St,,,
104 ST,IND,,IND,104 St,,,
111 ST,IND,,IND,111 St,,,
116 ST,IND,,IND,116 St,,,
125 ST,IND,,IND,125 St,,,
135 ST,IND,,IND,135 St,,,
14 ST,IND,,IND,14 St,,,
145 ST,IND,,IND,145 St,,,
15 ST-PROSPECT,IND,,IND,15 St - Prospect Park,,,
155 ST,IND,,IND,155 St,,,
161/YANKEE STAD,IND,,IND,161 St - Yankee Stadium,,,
167 ST,IND,,IND,167 St,,,
168 ST,IND,,IND,168 St,,,
169 ST,IND,,IND,169 St,,,
170 ST,IND,,IND,170 St,,,
174-175 STS,IND,,IND,174-175 Sts,,,
175 ST,IND,,IND,175 St,,,
18 AV,IND,,IND,18 Av,,,
181 ST,IND,,IND,181 St,,,
182-183 STS,IND,,IND,182-183 Sts,,,
190 ST,IND,,IND,190 St,,,
2 AV,IND,,IND,2 Av,,,
21 ST,IND,,IND,21 St,,,
21 ST-QNSBRIDGE,IND,,IND,21 St - Queensbridge,,,
23 ST,IND,,IND,23 St,,,
34 ST-HERALD SQ,IND,,IND,34 St - Herald Sq,,,
34 ST-PENN STA,IND,,IND,34 St - Penn Station,,,
36 ST,IND,,IND,36 St,,,
4 AV-9 ST,IND,,IND,4 Av,,,
42 ST-BRYANT PK,IND,,IND,42 St - Bryant Pk,,,
42 ST-PORT AUTH,IND,,IND,42 St - Port Authority Bus Terminal,,,
46 ST,IND,,IND,46 St,,,
47-50 STS ROCK,IND,,IND,47-50 Sts - Rockefeller Ctr,,,
5 AV/53 ST,IND,,IND,5 Av/53 St,,,
50 ST,IND,,IND,50 St,,,
57 ST,IND,,IND,57 St,,,
59 ST COLUMBUS,IND,,IND,59 St - Columbus Circle,,,
63 DR-REGO PARK,IND,,IND,63 Dr - Rego Park,,,
65 ST,IND,,IND,65 St,,,
67 AV,IND,,IND,67 Av,,,
7 AV,IND,,IND,7 Av,,,
72 ST-2 AVE,IND,,IND,72 St,,,
75 AV,IND,,IND,75 Av,,,
80 ST,IND,,IND,80 St,,,
81 ST-MUSEUM,IND,,IND,81 St - Museum of Natural History,,,
86 ST-2 AVE,IND,,IND,86 St,,,
88 ST,IND,,IND,88 St,,,
96 ST,IND,,IND,96 St,,,
96 ST-2 AVE,IND,,IND,96 St,,,
AQUEDUCT N.COND,IND,,IND,Aqueduct - N Conduit Av,,,
AQUEDUCT RACETR,IND,,IND,Aqueduct Racetrack,,,
AVENUE I,IND,,IND,Avenue I,,,
AVENUE N,IND,,IND,Avenue N,,,
AVENUE P,IND,,IND,Avenue P,,,
AVENUE U,IND,,IND,Avenue U,,,
AVENUE X,IND,,IND,Avenue X,,,
B'WAY-LAFAYETTE,IND,,,,,,
BAY PKWY,IND,,IND,Bay Pkwy,,,
BEACH 105 ST,IND,,IND,Beach 105 St,,,
BEACH 25 ST,IND,,IND,Beach 25 St,,,
BEACH 36 ST,IND,,IND,Beach 36 St,,,
BEACH 44 ST,IND,,IND,Beach 44 St,,,
BEACH 60 ST,IND,,IND,Beach 60 St,,,
BEACH 67 ST,IND,,IND,Beach 67 St,,,
BEACH 90 ST,IND,,IND,Beach 90 St,,,
BEACH 98 ST,IND,,IND,Beach 98 St,,,
BEDFORD PK BLVD,IND,,IND,Bedford Park Blvd,,,
BEDFORD-NOSTRAN,IND,,IND,Bedford - Nostrand Avs,,,
BERGEN ST,IND,,IND,Bergen St,,,
BRIARWOOD,IND,,IND,Briarwood - Van Wyck Blvd,,,
BROAD CHANNEL,IND,,IND,Broad Channel,,,
BROADWAY,IND,,IND,Broadway,,,
BROADWAY JCT,IND,,IND,Broadway Jct,,,
CANAL ST,IND,,IND,Canal St,,,
CARROLL ST,IND,,IND,Carroll St,,,
CHAMBERS ST,IND,,IND,Chambers St,,,
CHURCH AV,IND,,IND,Church Av,,,
CLASSON AV,IND,,IND,Classon Av,,,
CLINTON-WASH AV,IND,,IND,Clinton - Washington Avs,,,
COURT SQ,IND,,IND,Court Sq,,,
COURT SQ-23 ST,IND,,IND,Court Sq,,,
DELANCEY/ESSEX,IND,,IND,Delancey St,,,
DITMAS AV,IND,,IND,Ditmas Av,,,
DYCKMAN ST,IND,,IND,Dyckman St,,,
EAST BROADWAY,IND,,IND,East Broadway,,,
ELMHURST AV,IND,,IND,Elmhurst Av,,,
EUCLID AV,IND,,IND,Euclid Av,,,
FAR ROCKAWAY,IND,,IND,Far Rockaway - Mott Av,,,
FLUSHING AV,IND,,IND,Flushing Av,,,
FORDHAM RD,IND,,IND,Fordham Rd,,,
FOREST HILLS 71,IND,,IND,Forest Hills - 71 Av,,,
FRANKLIN AV,IND,,IND,Franklin Av, , ,
FT HAMILTON PKY,IND,,IND,Fort Hamilton Pkwy,,,
FULTON ST,IND,,IND,Fulton St,,,
GRAND ST,IND,,IND,Grand St, , ,
GRAND-NEWTOWN,IND,,IND,Grand Av - Newtown,,,
GRANT AV,IND,,IND,Grant Av,,,
GREENPOINT AV,IND,,IND,Greenpoint Av,,,
HIGH ST,IND,,IND,High St,,,
HOWARD BCH JFK,IND,,IND,Howard Beach - JFK Airport,,,
HOYT-SCHER,IND,,IND,Hoyt - Schermerhorn Sts,,,
INWOOD-207 ST,IND,,IND,Inwood - 207 St,,,
JAMAICA 179 ST,IND,,IND,Jamaica - 179 St,,,
JAMAICA CENTER,IND,,IND,Jamaica Center - Parsons/Archer,  , ,
JAMAICA VAN WK,IND,,IND,Jamaica - Van Wyck,,,
JAY ST-METROTEC,IND,,IND,Jay St - MetroTech,,,
JFK JAMAICA CT1,IND,,  , ,,,
JKSN HT-ROOSVLT,IND,,  , ,,,
KEW GARDENS,IND,,IND,Kew Gardens - Union Tpke,,,
KINGS HWY,IND,,IND,Kings Hwy,,,
KINGSBRIDGE RD,IND,,IND,Kingsbridge Rd,,,
KINGSTON-THROOP,IND,,IND,Kingston - Throop Avs,,,
LAFAYETTE AV,IND,,IND,Lafayette Av,,,
LEXINGTON AV/53,IND,,IND,Lexington Av/53 St,,,
LEXINGTON AV/63,IND,,IND,Lexington Av/63 St,,,
LIBERTY AV,IND,,IND,Liberty Av,,,
METROPOLITAN AV,IND,,IND,Metropolitan Av,,,
MYRTLE-WILLOUGH,IND,,IND,Myrtle - Willoughby Avs,,,
NASSAU AV,IND,,IND,Nassau Av,,,
NEPTUNE AV,IND,,IND,Neptune Av,,,
NORTHERN BLVD,IND,,IND,Northern Blvd,,,
NORWOOD 205 ST,IND,,IND,Norwood - 205 St,,,
NOSTRAND AV,IND,,IND,Nostrand Av,,,
ORCHARD BEACH,IND,,  , ,,,
OZONE PK LEFFRT,IND,,IND,Ozone Park - Lefferts Blvd,,,
PARSONS BLVD,IND,,IND,Parsons Blvd,,,
QUEENS PLAZA,IND,,IND,Queens Plaza,,,
RALPH AV,IND,,IND,Ralph Av,,,
ROCKAWAY AV,IND,,IND,Rockaway Av,,,
ROCKAWAY BLVD,IND,,IND,Rockaway Blvd,,,
ROCKAWAY PARK B,IND,,IND,Rockaway Park - Beach 116 St,,,
ROOSEVELT ISLND,IND,,IND,Roosevelt Island,,,
SHEPHERD AV,IND,,IND,Shepherd Av,,,
SMITH-9 ST,IND,,IND,Smith - 9 Sts,,,
SPRING ST,IND,,IND,Spring St,,,
STEINWAY ST,IND,,IND,Steinway St,,,
SUTPHIN BLVD,IND,,IND,Sutphin Blvd,,,
SUTPHIN-ARCHER,IND,,IND,Sutphin Blvd - Archer Av - JFK Airport,,,
TREMONT AV,IND,,IND,Tremont Av,,,
UTICA AV,IND,,IND,Utica Av,,,
VAN SICLEN AVE,IND,,IND,Van Siclen Av,,,
W 4 ST-WASH SQ,IND,,IND,W 4 St,,,
WOODHAVEN BLVD,IND,,IND,Woodhaven Blvd,,,
WORLD TRADE CTR,IND,,IND,World Trade Center,,,
YORK ST,IND,,IND,York St,,,
103 ST,IRT,,IRT,103 St,,,
103 ST-CORONA,IRT,,IRT,103 St - Corona Plaza,,,
110 ST,IRT,,IRT,110 St,,,
111 ST,IRT,,IRT,111 St,,,
116 ST,IRT,,IRT,116 St,,,
116 ST-COLUMBIA,IRT,,IRT,116 St - Columbia University,,,
125 ST,IRT,,IRT,125 St,,,
135 ST,IRT,,IRT,135 St,,,
137 ST CITY COL,IRT,,IRT,137 St - City College,,,
138/GRAND CONC,IRT,,IRT,138 St - Grand Concourse,,,
14 ST,IRT,,IRT,14 St,,,
14 ST-UNION SQ,IRT,,IRT,14 St - Union Sq,,,
145 ST,IRT,,IRT,145 St,,,
149/GRAND CONC,IRT,,IRT,149 St - Grand Concourse,,,
157 ST,IRT,,IRT,157 St,,,
161/YANKEE STAD,IRT,,IRT,161 St - Yankee Stadium,,,
167 ST,IRT,,IRT,167 St,,,
168 ST,IRT,,IRT,168 St - Washington Hts,,,
170 ST,IRT,,IRT,170 St,,,
174 ST,IRT,,IRT,174 St,,,
176 ST,IRT,,IRT,176 St,,,
18 ST,IRT,,IRT,18 St,,,
181 ST,IRT,,IRT,181 St,,,
183 ST,IRT,,IRT,183 St,,,
191 ST,IRT,,IRT,191 St,,,
207 ST,IRT,,IRT,207 St,,,
215 ST,IRT,,IRT,215 St,,,
219 ST,IRT,,IRT,219 St,,,
225 ST,IRT,,IRT,225 St,,,
23 ST,IRT,,IRT,23 St,,,
231 ST,IRT,,IRT,231 St,,,
233 ST,IRT,,IRT,233 St,,,
238 ST,IRT,,IRT,238 St,,,
28 ST,IRT,,IRT,28 St,,,
3 AV 138 ST,IRT,,IRT,3 Av - 138 St,,,
3 AV-149 ST,IRT,,IRT,3 Av - 149 St,,,
33 ST,IRT,,IRT,33 St,,,
33 ST-RAWSON ST,IRT,,IRT,33 St,,,
34 ST-HUDSON YD,IRT,,IRT,34 St - 11 Av,,,
34 ST-PENN STA,IRT,,IRT,34 St - Penn Station,,,
40 ST LOWERY ST,IRT,,IRT,40 St,,,
46 ST BLISS ST,IRT,,IRT,46 St,,,
5 AVE,IRT,,IRT,5 Av,,,
50 ST,IRT,,IRT,50 St,,,
51 ST,IRT,,IRT,51 St,,,
52 ST,IRT,,IRT,52 St,,,
59 ST,IRT,,IRT,59 St,,,
59 ST COLUMBUS,IRT,,IRT,59 St - Columbus Circle,,,
61 ST WOODSIDE,IRT,,  , ,,,
66 ST-LINCOLN,IRT,,IRT,66 St - Lincoln Center,,,
68ST-HUNTER CO,IRT,,IRT,68 St - Hunter College,,,
69 ST,IRT,,IRT,69 St,,,
72 ST,IRT,,IRT,72 St,,,
74 ST-BROADWAY,IRT,,IRT,74 St - Broadway,,,
77 ST,IRT,,IRT,77 St,,,
79 ST,IRT,,IRT,79 St,,,
82 ST-JACKSON H,IRT,,IRT,82 St - Jackson Hts,,,
86 ST,IRT,,IRT,86 St,,,
90 ST-ELMHURST,IRT,,IRT,90 St - Elmhurst Av,,,
96 ST,IRT,,IRT,96 St,,,
ALLERTON AV,IRT,,IRT,Allerton Av,,,
ASTOR PL,IRT,,IRT,Astor Pl,,,
ATL AV-BARCLAY,IRT,,IRT,Atlantic Av - Barclays Ctr,,,
BAYCHESTER AV,IRT,,IRT,Baychester Av,,,
BEDFORD PK BLVD,IRT,,IRT,Bedford Park Blvd - Lehman College,,,
BERGEN ST,IRT,,IRT,Bergen St,,,
BEVERLY RD,IRT,,IRT,Beverly Rd,,,
BLEECKER ST,IRT,,IRT,Bleecker St,,,
BOROUGH HALL,IRT,,IRT,Borough Hall,,,
BOWLING GREEN,IRT,,IRT,Bowling Green,,,
BRONX PARK EAST,IRT,,IRT,Bronx Park East,,,
BROOK AV,IRT,,IRT,Brook Av,,,
BROOKLYN BRIDGE,IRT,,IRT,Brooklyn Bridge - City Hall,,,
BUHRE AV,IRT,,IRT,Buhre Av,,,
BURKE AV,IRT,,IRT,Burke Av,,,
BURNSIDE AV,IRT,,IRT,Burnside Av,,,
CANAL ST,IRT,,IRT,Canal St,,,
CASTLE HILL AV,IRT,,IRT,Castle Hill Av,,,
CATHEDRAL PKWY,IRT,,IRT,Cathedral Pkwy,,,
CENTRAL PK N110,IRT,,IRT,Central Park North (110 St),,,
CHAMBERS ST,IRT,,IRT,Chambers St,,,
CHRISTOPHER ST,IRT,,IRT,Christopher St - Sheridan Sq,,,
CHURCH AV,IRT,,IRT,Church Av,,,
CLARK ST,IRT,,IRT,Clark St,,,
COURT SQ,IRT,,IRT,Court Sq,,,
CROWN HTS-UTICA,IRT,,IRT,Crown Hts - Utica Av,,,
CYPRESS AV,IRT,,IRT,Cypress Av,,,
DYCKMAN ST,IRT,,IRT,Dyckman St,,,
E 143/ST MARY'S,IRT,,IRT,E 143 St - St Mary's St,,,
E 149 ST,IRT,,IRT,E 149 St,,,
E 180 ST,IRT,,IRT,E 180 St,,,
EASTCHSTER/DYRE,IRT,,IRT,Eastchester - Dyre Av,,,
EASTN PKWY-MUSM,IRT,,IRT,Eastern Pkwy - Brooklyn Museum,,,
ELDER AV,IRT,,IRT,Elder Av,,,
FLATBUSH AV-B.C,IRT,,IRT,Flatbush Av - Brooklyn College,,,
FLUSHING-MAIN,IRT,,IRT,Flushing - Main St,,,
FORDHAM RD,IRT,,IRT,Fordham Rd,,,
FRANKLIN AV,IRT,,IRT,Franklin Av,,,
FRANKLIN ST,IRT,,IRT,Franklin St,,,
FREEMAN ST,IRT,,IRT,Freeman St,,,
FULTON ST,IRT,,IRT,Fulton St,,,
GRAND ARMY PLAZ,IRT,,IRT,Grand Army Plaza,,,
GRD CNTRL-42 ST,IRT,,IRT,Grand Central - 42 St,,,
GUN HILL RD,IRT,,IRT,Gun Hill Rd,,,
HARLEM 148 ST,IRT,,IRT,Harlem - 148 St,,,
HOUSTON ST,IRT,,IRT,Houston St,,,
HOYT ST,IRT,,IRT,Hoyt St,,,
HUNTERS PT AV,IRT,,IRT,Hunters Point Av,,,
HUNTS POINT AV,IRT,,IRT,Hunts Point Av,,,
INTERVALE AV,IRT,,IRT,Intervale Av,,,
JACKSON AV,IRT,,IRT,Jackson Av,,,
JUNCTION BLVD,IRT,,IRT,Junction Blvd,,,
JUNIUS ST,IRT,,IRT,Junius St,,,
KINGSBRIDGE RD,IRT,,IRT,Kingsbridge Rd,,,
KINGSTON AV,IRT,,IRT,Kingston Av,,,
LONGWOOD AV,IRT,,IRT,Longwood Av,,,
MARBLE HILL-225,IRT,,IRT,Marble Hill - 225 St,,,
METS-WILLETS PT,IRT,,IRT,Mets - Willets Point,,,
MIDDLETOWN RD,IRT,,IRT,Middletown Rd,,,
MORISN AV/SNDVW,IRT,,IRT,Morrison Av- Sound View,,,
MORRIS PARK,IRT,,IRT,Morris Park, , ,
MOSHOLU PKWY,IRT,,IRT,Mosholu Pkwy,,,
MT EDEN AV,IRT,,IRT,Mt Eden Av,,,
NEREID AV,IRT,,IRT,Nereid Av,,,
NEVINS ST,IRT,,IRT,Nevins St,,,
NEW LOTS AV,IRT,,IRT,New Lots Av,,,
NEWKIRK AV,IRT,,IRT,Newkirk Av,,,
NOSTRAND AV,IRT,,IRT,Nostrand Av,,,
PARK PLACE,IRT,,IRT,Park Pl,,,
PARKCHESTER,IRT,,IRT,Parkchester,,,
PELHAM BAY PARK,IRT,,IRT,Pelham Bay Park,,,
PELHAM PKWY,IRT,,IRT,Pelham Pkwy,,,
PENNSYLVANIA AV,IRT,,IRT,Pennsylvania Av,,,
PRESIDENT ST,IRT,,IRT,President St,,,
PROSPECT AV,IRT,,IRT,Prospect Av,,,
QUEENSBORO PLZ,IRT,,IRT,Queensboro Plaza,,,
RECTOR ST,IRT,,IRT,Rector St,,,
ROCKAWAY AV,IRT,,IRT,Rockaway Av,,,
SARATOGA AV,IRT,,IRT,Saratoga Av,,,
SIMPSON ST,IRT,,IRT,Simpson St,,,
SOUTH FERRY,IRT,,IRT,South Ferry,,,
SPRING ST,IRT,,IRT,Spring St,,,
ST LAWRENCE AV,IRT,,IRT,St Lawrence Av,,,
STERLING ST,IRT,,IRT,Sterling St,,,
SUTTER AV-RUTLD,IRT,,IRT,Sutter Av - Rutland Rd,,,
TIMES SQ-42 ST,IRT,,IRT,Times Sq - 42 St,,,
V.CORTLANDT PK,IRT,,IRT,Van Cortlandt Park - 242 St,,,
VAN SICLEN AV,IRT,,IRT,Van Siclen Av,,,
VERNON-JACKSON,IRT,,IRT,Vernon Blvd - Jackson Av,,,
WAKEFIELD/241,IRT,,IRT,Wakefield - 241 St,,,
WALL ST,IRT,,IRT,Wall St,,,
WEST FARMS SQ,IRT,,IRT,West Farms Sq - E Tremont Av,,,
WESTCHESTER SQ,IRT,,IRT,Westchester Sq - E Tremont Av,,,
WHITLOCK AV,IRT,,IRT,Whitlock Av,,,
WINTHROP ST,IRT,,IRT,Winthrop St,,,
WOODLAWN,IRT,,IRT,Woodlawn,,,
ZEREGA AV,IRT,,IRT,Zerega Av,,,
14TH STREET,PTH,, , ,,,
9TH STREET,PTH,, , ,,,
CHRISTOPHER ST,PTH,, , ,,,
CITY / BUS,PTH,, , ,,,
EXCHANGE PLACE,PTH,, , ,,,
GROVE STREET,PTH,, , ,,,
HARRISON,PTH,, , ,,,
JOURNAL SQUARE,PTH,, , ,,,
LACKAWANNA,PTH,, , ,,,
NEWARK BM BW,PTH,, , ,,,
NEWARK C,PTH,, , ,,,
NEWARK HM HE,PTH,, , ,,,
NEWARK HW BMEBE,PTH,, , ,,,
PATH NEW WTC,PTH,, , ,,,
PATH WTC 2,PTH,, , ,,,
PAVONIA/NEWPORT,PTH,, , ,,,
THIRTY ST,PTH,, , ,,,
THIRTY THIRD ST,PTH,, , ,,,
TWENTY THIRD ST,PTH,,  , ,,,
RIT-MANHATTAN,RIT,, , ,,,
RIT-ROOSEVELT,RIT,, , ,,,
ST. GEORGE,SRT,,SIR,St George,,,
TOMPKINSVILLE,SRT,,SIR,Tompkinsville,,,