	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
0	GRD CNTRL-42 ST	IRT	2617020.0	2446281.0	IRT	Grand Central - 42 St	402.0	610.0	631	Lexington Av	M	4 5 6	Subway	40.751776	-73.976848
1	42 ST-PORT AUTH	IND	1830374.0	1381056.0	IND	42 St - Port Authority Bus Terminal	163.0	611.0	A27	8th Av - Fulton St	M	A C E	Subway	40.757308	-73.989735
2	TIMES SQ-42 ST	IRT	1605614.0	1340308.0	IRT	Times Sq - 42 St	317.0	611.0	127	Broadway - 7Av	M	1 2 3	Subway	40.75529	-73.987495
3	34 ST-PENN STA	IRT	1486414.0	1210294.0	IRT	34 St - Penn Station	318.0	318.0	128	Broadway - 7Av	M	1 2 3	Subway	40.750372999999996	-73.991057
4	34 ST-PENN STA	IND	1422052.0	1260938.0	IND	34 St - Penn Station	164.0	164.0	A28	8th Av - Fulton St	M	A C E	Subway	40.752287	-73.993391
5	34 ST-HERALD SQ	IND	1381388.0	1279008.0	IND	34 St - Herald Sq	227.0	607.0	D17	6th Av - Culver	M	B D F M	Subway	40.749719	-73.98782299999999
6	14 ST-UNION SQ	BMT	1330926.0	1145367.0	BMT	14 St - Union Sq	15.0	602.0	R20	Broadway - Brighton	M	N Q R W	Subway	40.735735999999996	-73.99056800000001
7	86 ST	IRT	1210198.0	1097619.0	IRT	86 St	311.0	311.0	121	Broadway - 7Av	M	1	Subway	40.788644	-73.976218
8	FULTON ST	IND	1133014.0	632621.0	IND	Fulton St	172.0	628.0	A38	8th Av - Fulton St	M	A C	Subway	40.710196999999994	-74.00769100000001
9	59 ST COLUMBUS	IND	1010398.0	815947.0	IND	59 St - Columbus Circle	161.0	614.0	A24	8th Av - Fulton St	M	A B C D	Subway	40.768296	-73.981736
10	PATH NEW WTC	PTH	1008106.0	933847.0	 	 									
11	FLUSHING-MAIN	IRT	1000594.0	840134.0	IRT	Flushing - Main St	447.0	447.0	701	Flushing	Q	7	Subway	40.7596	-73.83003000000001
12	CANAL ST	BMT	988699.0	647797.0	BMT	Canal St	18.0	623.0	R23	Broadway	M	R W	Subway	40.719527	-74.001775
13	47-50 STS ROCK	IND	970347.0	999347.0	IND	47-50 Sts - Rockefeller Ctr	225.0	225.0	D15	6th Av - Culver	M	B D F M	Subway	40.758663	-73.981329
14	96 ST	IRT	936091.0	748585.0	IRT	96 St	310.0	310.0	120	Broadway - 7Av	M	1 2 3	Subway	40.793919	-73.972323
15	125 ST	IRT	902784.0	688618.0	IRT	125 St	306.0	306.0	116	Broadway - 7Av	M	1	Elevated	40.815581	-73.958372
16	JKSN HT-ROOSVLT	IND	898908.0	676289.0	  	 									
17	23 ST	IND	886897.0	660072.0	IND	23 St	165.0	165.0	A30	8th Av - Fulton St	M	C E	Subway	40.745906	-73.998041
18	34 ST-HERALD SQ	BMT	876855.0	705132.0	BMT	34 St - Herald Sq	12.0	607.0	R17	Broadway - Brighton	M	N Q R W	Subway	40.749567	-73.98795
19	W 4 ST-WASH SQ	IND	772381.0	708132.0	IND	W 4 St	167.0	167.0	A32	8th Av - Fulton St	M	A C E	Subway	40.732338	-74.000495
20	72 ST	IRT	756155.0	721275.0	IRT	72 St	313.0	313.0	123	Broadway - 7Av	M	1 2 3	Subway	40.778453000000006	-73.98196999999999
21	59 ST	IRT	745560.0	753629.0	IRT	59 St	400.0	613.0	629	Lexington Av	M	4 5 6	Subway	40.762526	-73.967967
22	42 ST-BRYANT PK	IND	737470.0	717891.0	IND	42 St - Bryant Pk	226.0	609.0	D16	6th Av - Culver	M	B D F M	Subway	40.754222	-73.984569
23	14 ST	IND	683955.0	682280.0	IND	14 St	166.0	618.0	A31	8th Av - Fulton St	M	A C E	Subway	40.740893	-74.00169
24	23 ST	IRT	680181.0	537037.0	IRT	23 St	320.0	320.0	130	Broadway - 7Av	M	1	Subway	40.744081	-73.995657
25	WALL ST	IRT	678720.0	582192.0	IRT	Wall St	333.0	333.0	230	Clark St	M	2 3	Subway	40.706821000000005	-74.0091
26	LEXINGTON AV/53	IND	677347.0	691205.0	IND	Lexington Av/53 St	275.0	612.0	F11	Queens Blvd	M	E M	Subway	40.757552000000004	-73.96905500000001
27	8 AV	BMT	670648.0	450043.0	BMT	8 Av	71.0	71.0	N02	Sea Beach	Bk	N	Open Cut	40.635064	-74.011719
28	57 ST-7 AV	BMT	649190.0	429644.0	BMT	57 St - 7 Av	9.0	9.0	R14	Broadway - Brighton	M	N Q R W	Subway	40.764664	-73.98065799999999
29	DEKALB AV	BMT	621924.0	219027.0	BMT	DeKalb Av	26.0	26.0	R30	Broadway - Brighton	Bk	B Q R	Subway	40.690635	-73.981824
30	JAY ST-METROTEC	IND	619026.0	341637.0	IND	Jay St - MetroTech	174.0	636.0	A41	8th Av - Fulton St	Bk	A C F	Subway	40.692338	-73.987342
31	JAMAICA CENTER	IND	616600.0	538212.0	IND	Jamaica Center - Parsons/Archer	278.0	278.0	G05	Queens - Archer	Q	E J Z	Subway	40.702147	-73.801109
32	28 ST	IRT	605503.0	506599.0	IRT	28 St	319.0	319.0	129	Broadway - 7Av	M	1	Subway	40.747215000000004	-73.993365
33	14 ST-UNION SQ	IRT	573454.0	512112.0	IRT	14 St - Union Sq	406.0	602.0	635	Lexington Av	M	4 5 6	Subway	40.734673	-73.989951
34	ATL AV-BARCLAY	IRT	565795.0	473302.0	IRT	Atlantic Av - Barclays Ctr	338.0	617.0	235	Eastern Pky	Bk	2 3	Subway	40.684359	-73.977666
35	BEDFORD AV	BMT	562760.0	620223.0	BMT	Bedford Av	120.0	120.0	L08	Canarsie	Bk	L	Subway	40.717304	-73.956872
36	BOROUGH HALL	IRT	547937.0	361052.0	IRT	Borough Hall	335.0	620.0	232	Clark St	Bk	2 3	Subway	40.693219	-73.989998
37	BOWLING GREEN	IRT	534397.0	474725.0	IRT	Bowling Green	414.0	414.0	420	Lexington Av	M	4 5	Subway	40.704817	-74.014065
38	JOURNAL SQUARE	PTH	528374.0	597157.0	 	 									
39	125 ST	IND	515784.0	443588.0	IND	125 St	153.0	153.0	A15	8th Av - Fulton St	M	A B C D	Subway	40.811109	-73.952343
40	72 ST-2 AVE	IND	514775.0	443749.0	IND	72 St	160.0	160.0	A22	8th Av - Fulton St	M	B C	Subway	40.775594	-73.97641
41	7 AV	IND	503707.0	436459.0	IND	7 Av	240.0	240.0	F24	6th Av - Culver	Bk	F G	Subway	40.666271	-73.980305
42	49 ST	BMT	485839.0	406305.0	BMT	49 St	10.0	10.0	R15	Broadway - Brighton	M	N R W	Subway	40.759901	-73.984139
43	THIRTY THIRD ST	PTH	481376.0	418393.0	 	 									
44	FOREST HILLS 71	IND	470255.0	246549.0	IND	Forest Hills - 71 Av	261.0	261.0	G08	Queens Blvd	Q	E F M R	Subway	40.721691	-73.844521
45	33 ST	IRT	469852.0	355735.0	IRT	33 St	403.0	403.0	632	Lexington Av	M	6	Subway	40.746081	-73.982076
46	CHAMBERS ST	IND	468096.0	299668.0	IND	Chambers St	170.0	624.0	A36	8th Av - Fulton St	M	A C	Subway	40.714110999999995	-74.008585
47	86 ST-2 AVE	IND	466570.0	306687.0	IND	86 St	158.0	158.0	A20	8th Av - Fulton St	M	B C	Subway	40.785868	-73.96891600000001
48	CROWN HTS-UTICA	IRT	465355.0	362396.0	IRT	Crown Hts - Utica Av	345.0	345.0	250	Eastern Pky	Bk	3 4	Subway	40.668896999999994	-73.93294200000001
49	59 ST	BMT	458890.0	244215.0	BMT	59 St	35.0	35.0	R41	4th Av	Bk	N R	Subway	40.641362	-74.017881
50	116 ST	IRT	456479.0	250384.0	IRT	116 St	393.0	393.0	622	Lexington Av	M	6	Subway	40.798629	-73.94161700000001
51	50 ST	IRT	456389.0	421818.0	IRT	50 St	316.0	316.0	126	Broadway - 7Av	M	1	Subway	40.761728000000005	-73.98384899999999
52	103 ST	IRT	447345.0	309548.0	IRT	103 St	309.0	309.0	119	Broadway - 7Av	M	1	Subway	40.799446	-73.968379
53	GRAND ST	IND	438045.0	318343.0	IND	Grand St	231.0	231.0	D22	6th Av - Culver	M	B D	Subway	40.718267	-73.993753
54	FULTON ST	IRT	433393.0	619186.0	IRT	Fulton St	332.0	628.0	229	Clark St	M	2 3	Subway	40.709416	-74.006571
55	KEW GARDENS	IND	431356.0	428590.0	IND	Kew Gardens - Union Tpke	259.0	259.0	F06	Queens Blvd	Q	E F	Subway	40.714441	-73.831008
56	SUTPHIN-ARCHER	IND	426998.0	351211.0	IND	Sutphin Blvd - Archer Av - JFK Airport	279.0	279.0	G06	Queens - Archer	Q	E J Z	Subway	40.700486	-73.807969
57	77 ST	IRT	423889.0	418462.0	IRT	77 St	398.0	398.0	627	Lexington Av	M	6	Subway	40.77362	-73.959874
58	23 ST	BMT	417736.0	231790.0	BMT	23 St	14.0	14.0	R19	Broadway - Brighton	M	R W	Subway	40.741303	-73.98934399999999
59	145 ST	IND	409699.0	399620.0	IND	145 St	151.0	151.0	A12	8th Av - Fulton St	M	A C	Subway	40.824783000000004	-73.944216
60	1 AV	BMT	405298.0	438168.0	BMT	1 Av	119.0	119.0	L06	Canarsie	M	L	Subway	40.730953	-73.981628
61	14 ST	IRT	402880.0	230952.0	IRT	14 St	322.0	601.0	132	Broadway - 7Av	M	1 2 3	Subway	40.737826	-74.000201
62	5 AV/53 ST	IND	399446.0	439432.0	IND	5 Av/53 St	276.0	276.0	F12	Queens Blvd	M	E M	Subway	40.760166999999996	-73.975224
63	GROVE STREET	PTH	398366.0	487143.0	 	 									
64	KINGS HWY	BMT	391072.0	307265.0	BMT	Kings Hwy	51.0	51.0	D35	Broadway - Brighton	Bk	B Q	Open Cut	40.608670000000004	-73.957734
65	3 AV-149 ST	IRT	390374.0	159929.0	IRT	3 Av - 149 St	434.0	434.0	221	Lenox - White Plains Rd	Bx	2 5	Subway	40.816109000000004	-73.917757
66	B'WAY-LAFAYETTE	IND	385814.0	504914.0											
67	JUNCTION BLVD	IRT	384896.0	321582.0	IRT	Junction Blvd	451.0	451.0	707	Flushing	Q	7	Elevated	40.749145	-73.869527
68	MYRTLE-WYCKOFF	BMT	382099.0	227701.0	BMT	Myrtle - Wyckoff Avs	112.0	630.0	M08	Myrtle Av	Bk	M	Elevated	40.69943	-73.912385
69	66 ST-LINCOLN	IRT	377101.0	340839.0	IRT	66 St - Lincoln Center	314.0	314.0	124	Broadway - 7Av	M	1	Subway	40.77344	-73.982209
70	CORTLANDT ST	BMT	375919.0	288861.0	BMT	Cortlandt St	21.0	21.0	R25	Broadway	M	R W	Subway	40.710668	-74.01102900000001
71	WOODHAVEN BLVD	IND	369894.0	218959.0	IND	Woodhaven Blvd	264.0	264.0	G11	Queens Blvd	Q	M R	Subway	40.733106	-73.869229
72	LEXINGTON AV/63	IND	369814.0	412190.0	IND	Lexington Av/63 St	223.0	223.0	B08	63rd St	M	F Q	Subway	40.764629	-73.966113
73	CONEY IS-STILLW	BMT	365168.0	279240.0	BMT	Coney Island - Stillwell Av	58.0	58.0	D43	Sea Beach / West End / Culver / Brighton	Bk	D F N Q	Viaduct	40.577422	-73.98123299999999
74	51 ST	IRT	360762.0	391957.0	IRT	51 St	401.0	612.0	630	Lexington Av	M	6	Subway	40.757107	-73.97192
75	JAMAICA 179 ST	IND	357470.0	152043.0	IND	Jamaica - 179 St	254.0	254.0	F01	Queens Blvd	Q	F	Subway	40.712646	-73.783817
76	50 ST	IND	355907.0	208729.0	IND	50 St	162.0	162.0	A25	8th Av - Fulton St	M	C E	Subway	40.762456	-73.985984
77	CITY / BUS	PTH	354516.0	486549.0	 	 									
78	CANAL ST	IND	352135.0	313707.0	IND	Canal St	169.0	169.0	A34	8th Av - Fulton St	M	A C E	Subway	40.720824	-74.005229
79	103 ST-CORONA	IRT	348928.0	259248.0	IRT	103 St - Corona Plaza	450.0	450.0	706	Flushing	Q	7	Elevated	40.749865	-73.8627
80	96 ST-2 AVE	IND	348379.0	246009.0	IND	96 St	157.0	157.0	A19	8th Av - Fulton St	M	B C	Subway	40.791641999999996	-73.96469599999999
81	BROOKLYN BRIDGE	IRT	346711.0	274474.0	IRT	Brooklyn Bridge - City Hall	411.0	622.0	640	Lexington Av	M	4 5 6	Subway	40.713065	-74.004131
82	81 ST-MUSEUM	IND	344394.0	284747.0	IND	81 St - Museum of Natural History	159.0	159.0	A21	8th Av - Fulton St	M	B C	Subway	40.781433	-73.972143
83	WHITEHALL S-FRY	BMT	337948.0	313818.0	BMT	Whitehall St	23.0	635.0	R27	Broadway	M	R W	Subway	40.703087	-74.01299399999999
84	161/YANKEE STAD	IND	337323.0	210728.0	IND	161 St - Yankee Stadium	219.0	604.0	D11	Concourse	Bx	B D	Subway	40.827905	-73.925651
85	68ST-HUNTER CO	IRT	330167.0	271304.0	IRT	68 St - Hunter College	399.0	399.0	628	Lexington Av	M	6	Subway	40.768141	-73.96387
86	NEWARK BM BW	PTH	327664.0	35721.0	 	 									
87	PAVONIA/NEWPORT	PTH	325921.0	416959.0	 	 									
88	NOSTRAND AV	IND	323282.0	228248.0	IND	Nostrand Av	179.0	179.0	A46	8th Av - Fulton St	Bk	A C	Subway	40.680438	-73.95042600000001
89	CHAMBERS ST	IRT	322994.0	300518.0	IRT	Chambers St	327.0	327.0	137	Broadway - 7Av	M	1 2 3	Subway	40.715478000000004	-74.009266
90	WORLD TRADE CTR	IND	321756.0	238083.0	IND	World Trade Center	171.0	624.0	E01	8th Av - Fulton St	M	E	Subway	40.712582	-74.009781
91	FLATBUSH AV-B.C	IRT	319831.0	179565.0	IRT	Flatbush Av - Brooklyn College	359.0	359.0	247	Nostrand	Bk	2 5	Subway	40.632836	-73.947642
92	GRAND-NEWTOWN	IND	317470.0	178701.0	IND	Grand Av - Newtown	265.0	265.0	G12	Queens Blvd	Q	M R	Subway	40.737015	-73.877223
93	8 ST-NYU	BMT	309024.0	221177.0	BMT	8 St - NYU	16.0	16.0	R21	Broadway - Brighton	M	R W	Subway	40.730328	-73.99262900000001
94	2 AV	IND	308102.0	304317.0	IND	2 Av	232.0	232.0	F14	6th Av - Culver	M	F	Subway	40.723402	-73.989938
95	61 ST WOODSIDE	IRT	304903.0	327543.0	  	 									
96	QUEENSBORO PLZ	IRT	303727.0	89315.0	IRT	Queensboro Plaza	461.0	461.0	718	Flushing	Q	7	Elevated	40.750582	-73.940202
97	UTICA AV	IND	299878.0	223539.0	IND	Utica Av	181.0	181.0	A48	8th Av - Fulton St	Bk	A C	Subway	40.679364	-73.930729
98	STEINWAY ST	IND	297937.0	210578.0	IND	Steinway St	271.0	271.0	G19	Queens Blvd	Q	M R	Subway	40.756879	-73.92074000000001
99	5 AV/59 ST	BMT	297284.0	216317.0	BMT	5 Av/59 St	8.0	8.0	R13	Astoria	M	N W R	Subway	40.764811	-73.973347
100	CHURCH AV	BMT	296138.0	306126.0	BMT	Church Av	44.0	44.0	D28	Broadway - Brighton	Bk	B Q	Open Cut	40.650527000000004	-73.962982
101	90 ST-ELMHURST	IRT	294382.0	139424.0	IRT	90 St - Elmhurst Av	452.0	452.0	708	Flushing	Q	7	Elevated	40.748408000000005	-73.876613
102	DELANCEY/ESSEX	IND	293106.0	242235.0	IND	Delancey St	233.0	625.0	F15	6th Av - Culver	M	F	Subway	40.718610999999996	-73.988114
103	SOUTH FERRY	IRT	290082.0	233112.0	IRT	South Ferry	330.0	635.0	142	Broadway - 7Av	M	1	Subway	40.702068	-74.013664
104	EXCHANGE PLACE	PTH	286646.0	270904.0	 	 									
105	ASTOR PL	IRT	284219.0	285841.0	IRT	Astor Pl	407.0	407.0	636	Lexington Av	M	6	Subway	40.730053999999996	-73.99107
106	79 ST	IRT	281693.0	144920.0	IRT	79 St	312.0	312.0	122	Broadway - 7Av	M	1	Subway	40.783934	-73.979917
107	PRINCE ST	BMT	279368.0	268378.0	BMT	Prince St	17.0	17.0	R22	Broadway - Brighton	M	R W	Subway	40.724329	-73.997702
108	BLEECKER ST	IRT	277670.0	106298.0	IRT	Bleecker St	408.0	619.0	637	Lexington Av	M	6	Subway	40.725915	-73.994659
109	VERNON-JACKSON	IRT	273925.0	206255.0	IRT	Vernon Blvd - Jackson Av	464.0	464.0	721	Flushing	Q	7	Subway	40.742626	-73.953581
110	63 DR-REGO PARK	IND	273290.0	111350.0	IND	63 Dr - Rego Park	263.0	263.0	G10	Queens Blvd	Q	M R	Subway	40.729846	-73.861604
111	HALSEY ST	BMT	272547.0	146461.0	BMT	Halsey St	94.0	94.0	J29	Jamaica	Bk	J	Elevated	40.686370000000004	-73.91655899999999
112	PARKCHESTER	IRT	271738.0	291326.0	IRT	Parkchester	366.0	366.0	608	Pelham	Bx	6	Elevated	40.833226	-73.860816
113	BAY PKWY	BMT	270323.0	181937.0	BMT	Bay Pkwy	68.0	68.0	B21	West End	Bk	D	Elevated	40.601875	-73.993728
114	82 ST-JACKSON H	IRT	270211.0	329394.0	IRT	82 St - Jackson Hts	453.0	453.0	709	Flushing	Q	7	Elevated	40.747659000000006	-73.883697
115	TIMES SQ-42 ST	BMT	267883.0	390770.0	BMT	Times Sq - 42 St	11.0	611.0	R16	Broadway - Brighton	M	N Q R W	Subway	40.754672	-73.986754
116	HOUSTON ST	IRT	262311.0	173011.0	IRT	Houston St	324.0	324.0	134	Broadway - 7Av	M	1	Subway	40.728251	-74.005367
117	36 ST	BMT	259970.0	155678.0	BMT	36 St	32.0	32.0	R36	4th Av	Bk	D N R	Subway	40.655144	-74.00354899999999
118	135 ST	IRT	251982.0	75715.0	IRT	135 St	438.0	438.0	224	Lenox - White Plains Rd	M	2 3	Subway	40.814229	-73.94077
119	137 ST CITY COL	IRT	249227.0	215851.0	IRT	137 St - City College	305.0	305.0	115	Broadway - 7Av	M	1	Subway	40.822008000000004	-73.953676
120	168 ST	IND	248924.0	101167.0	IND	168 St	148.0	605.0	A09	8th Av - Fulton St	M	A C	Subway	40.840719	-73.939561
121	EAST BROADWAY	IND	248089.0	125159.0	IND	East Broadway	234.0	234.0	F16	6th Av - Culver	M	F	Subway	40.713715	-73.990173
122	JFK JAMAICA CT1	IND	247698.0	164271.0	  	 									
123	59 ST COLUMBUS	IRT	243481.0	192226.0	IRT	59 St - Columbus Circle	315.0	614.0	125	Broadway - 7Av	M	1	Subway	40.768246999999995	-73.98192900000001
124	SHEEPSHEAD BAY	BMT	242858.0	218564.0	BMT	Sheepshead Bay	54.0	54.0	D39	Broadway - Brighton	Bk	B Q	Open Cut	40.586896	-73.954155
125	ASTORIA BLVD	BMT	240746.0	175211.0	BMT	Astoria Blvd	2.0	2.0	R03	Astoria	Q	N W	Elevated	40.770258	-73.917843
126	57 ST	IND	238376.0	221131.0	IND	57 St	224.0	224.0	B10	6th Av - Culver	M	F	Subway	40.763971999999995	-73.97745
127	ASTORIA DITMARS	BMT	238093.0	130452.0	BMT	Astoria - Ditmars Blvd	1.0	1.0	R01	Astoria	Q	N W	Elevated	40.775036	-73.91203399999999
128	MARCY AV	BMT	234539.0	180473.0	BMT	Marcy Av	101.0	101.0	M16	Jamaica	Bk	J M Z	Elevated	40.708359	-73.957757
129	28 ST	BMT	233289.0	252255.0	BMT	28 St	13.0	13.0	R18	Broadway - Brighton	M	R W	Subway	40.745494	-73.988691
130	CATHEDRAL PKWY	IRT	232775.0	118076.0	IRT	Cathedral Pkwy	308.0	308.0	118	Broadway - 7Av	M	1	Subway	40.803967	-73.966847
131	46 ST BLISS ST	IRT	231598.0	178382.0	IRT	46 St	458.0	458.0	714	Flushing	Q	7	Elevated	40.743132	-73.918435
132	175 ST	IND	231575.0	119159.0	IND	175 St	147.0	147.0	A07	8th Av - Fulton St	M	A	Subway	40.847390999999995	-73.939704
133	86 ST	BMT	231215.0	126122.0	BMT	86 St	38.0	38.0	R44	4th Av	Bk	R	Subway	40.622687	-74.028398
134	ST. GEORGE	SRT	231164.0	10.0	SIR	St George	501.0	501.0	S31	Staten Island	SI	SIR	Open Cut	40.643747999999995	-74.073643
135	168 ST	IRT	226772.0	230788.0	IRT	168 St - Washington Hts	302.0	605.0	112	Broadway - 7Av	M	1	Subway	40.840556	-73.94013299999999
136	FRANKLIN AV	IRT	226480.0	133322.0	IRT	Franklin Av	342.0	626.0	239	Eastern Pky	Bk	2 3 4 5	Subway	40.670682	-73.95813100000001
137	SPRING ST	IND	224029.0	45720.0	IND	Spring St	168.0	168.0	A33	8th Av - Fulton St	M	C E	Subway	40.726227	-74.003739
138	BRIGHTON BEACH	BMT	223876.0	151779.0	BMT	Brighton Beach	55.0	55.0	D40	Broadway - Brighton	Bk	B Q	Elevated	40.577621	-73.961376
139	5 AVE	IRT	222675.0	187009.0	IRT	5 Av	466.0	609.0	724	Flushing	M	7	Subway	40.753821	-73.98196300000001
140	116 ST-COLUMBIA	IRT	222216.0	117403.0	IRT	116 St - Columbia University	307.0	307.0	117	Broadway - 7Av	M	1	Subway	40.807722	-73.96410999999999
141	ELMHURST AV	IND	220040.0	52769.0	IND	Elmhurst Av	266.0	266.0	G13	Queens Blvd	Q	M R	Subway	40.742453999999995	-73.882017
142	BROADWAY	BMT	219679.0	137938.0	BMT	Broadway	4.0	4.0	R05	Astoria	Q	N W	Elevated	40.76182	-73.925508
143	ATL AV-BARCLAY	BMT	214831.0	247606.0	BMT	Atlantic Av - Barclays Ctr	27.0	617.0	R31	4th Av	Bk	D N R	Subway	40.683665999999995	-73.97881
